id,stream,source,instrument,direction,confidence,reasoning,was_traded,rejection_reason,is_comparison,created_at
124,hybrid:All-equal-majority,hybrid:All-equal-majority,BCO_USD,short,0.5445,Majority (2/3): short,0,Below threshold (0.5445 < 0.6),0,2026-03-19 15:49:53
123,hybrid:All-equal-majority,hybrid:All-equal-majority,XAU_USD,short,0.9179999999999999,Majority (2/3): short,1,,0,2026-03-19 15:49:50
122,hybrid:All-equal-majority,hybrid:All-equal-majority,USD_JPY,short,0.0665,Majority (2/3): short,0,Below threshold (0.0665 < 0.6),0,2026-03-19 15:49:47
121,hybrid:All-equal-majority,hybrid:All-equal-majority,EUR_USD,short,0.39699999999999996,Majority (2/2): short,0,Below threshold (0.39699999999999996 < 0.6),0,2026-03-19 15:49:42
120,hybrid:Geopolitical Edge,hybrid:Geopolitical Edge,XAU_USD,short,0.502,Weighted score: -0.502,0,Below threshold (0.502 < 0.6),0,2026-03-19 15:49:39
119,strategy,volatility_breakout,XAU_USD,neutral,0.0,"volatility_breakout: {'atr': np.float64(56.97786), 'avg_atr': np.float64(33.25835), 'atr_ratio': np.float64(1.713), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 15:49:36
117,strategy,volatility_breakout,USD_CHF,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.00172), 'avg_atr': np.float64(0.00123), 'atr_ratio': np.float64(1.398), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 15:49:35
118,strategy,volatility_breakout,AUD_USD,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.00211), 'avg_atr': np.float64(0.00168), 'atr_ratio': np.float64(1.256), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 15:49:35
115,strategy,volatility_breakout,GBP_USD,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.00276), 'avg_atr': np.float64(0.00217), 'atr_ratio': np.float64(1.27), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 15:49:34
116,strategy,volatility_breakout,USD_JPY,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.28154), 'avg_atr': np.float64(0.19557), 'atr_ratio': np.float64(1.44), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 15:49:34
113,strategy,mean_reversion,XAU_USD,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(4958.94807), 'bb_lower': np.float64(4542.00693), 'bb_mid': np.float64(4750.4775), 'rsi': np.float64(14.13), 'pct_b': np.float64(0.064)}",0,,0,2026-03-19 15:49:33
114,strategy,volatility_breakout,EUR_USD,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.00227), 'avg_atr': np.float64(0.00184), 'atr_ratio': np.float64(1.234), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 15:49:33
111,strategy,mean_reversion,USD_CHF,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(0.79477), 'bb_lower': np.float64(0.79076), 'bb_mid': np.float64(0.79276), 'rsi': np.float64(52.48), 'pct_b': np.float64(0.387)}",0,,0,2026-03-19 15:49:32
112,strategy,mean_reversion,AUD_USD,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(0.70576), 'bb_lower': np.float64(0.70175), 'bb_mid': np.float64(0.70376), 'rsi': np.float64(45.71), 'pct_b': np.float64(0.306)}",0,,0,2026-03-19 15:49:32
109,strategy,mean_reversion,GBP_USD,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(1.33504), 'bb_lower': np.float64(1.32226), 'bb_mid': np.float64(1.32865), 'rsi': np.float64(67.82), 'pct_b': np.float64(0.987)}",0,,0,2026-03-19 15:49:31
110,strategy,mean_reversion,USD_JPY,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(160.3594), 'bb_lower': np.float64(158.3216), 'bb_mid': np.float64(159.3405), 'rsi': np.float64(20.57), 'pct_b': np.float64(0.106)}",0,,0,2026-03-19 15:49:31
107,strategy,breakout,XAU_USD,short,1.0,"breakout: {'asian_high': np.float64(5016.23), 'asian_low': np.float64(4805.15), 'asian_range': np.float64(211.08), 'buffer': 1.0}",0,Max open positions (5) reached,0,2026-03-19 15:49:30
108,strategy,mean_reversion,EUR_USD,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(1.15138), 'bb_lower': np.float64(1.14372), 'bb_mid': np.float64(1.14755), 'rsi': np.float64(60.47), 'pct_b': np.float64(0.867)}",0,,0,2026-03-19 15:49:30
105,strategy,breakout,USD_CHF,neutral,0.0,"breakout: {'asian_high': np.float64(0.79349), 'asian_low': np.float64(0.78438), 'asian_range': np.float64(0.00911), 'buffer': 0.001}",0,,0,2026-03-19 15:49:29
106,strategy,breakout,AUD_USD,neutral,0.0,"breakout: {'asian_high': np.float64(0.71195), 'asian_low': np.float64(0.70213), 'asian_range': np.float64(0.00982), 'buffer': 0.001}",0,,0,2026-03-19 15:49:29
103,strategy,breakout,GBP_USD,neutral,0.0,"breakout: {'asian_high': np.float64(1.33724), 'asian_low': np.float64(1.32513), 'asian_range': np.float64(0.01211), 'buffer': 0.001}",0,,0,2026-03-19 15:49:28
104,strategy,breakout,USD_JPY,short,0.099,"breakout: {'asian_high': np.float64(159.852), 'asian_low': np.float64(158.655), 'asian_range': np.float64(1.197), 'buffer': 0.1}",0,Below confidence threshold (0.099 < 0.6),0,2026-03-19 15:49:28
101,strategy,carry,XAU_USD,neutral,0.0,carry: {'reason': 'No rate data for XAU or USD'},0,,0,2026-03-19 15:49:27
